Code;Country;GDP
USA;United States;18036648
CHN;China;11064665
JPN;Japan;4383076
GER;Germany;3363447
GBR;United Kingdom;2861091
FRA;France;2418836
IND;India;2088841
ITA;Italy;1821497
BRA;Brazil;1803653
CAN;Canada;1552808
KOR;South Korea;1377873
AUS;Australia;1339141
RUS;Russian Federation;1331208
ESP;Spain;1192901
MEX;Mexico;1143793
IDN;Indonesia;861934
NED;Netherlands;750284
TUR;Turkey;71788
CHE;Switzerland;67079
SAU;Saudi Arabia;646002
ARG;Argentina;584711
SWE;Sweden;495694
NGA;Nigeria;486793
POL;Poland;477066
BEL;Belgium;455086
IRN;Iran;425326
THA;Thailand;395168
NOR;Norway;386578
AUT;Austria;37695
ARE;United Arab Emirates;370296
EGY;Egypt;330779
ZAF;South Africa;314572
HKG;Hong Kong SAR China;309235
DNK;Denmark;301308
ISR;Israel;299416
MYS;Malaysia;296283
SGP;Singapore;292739
PHL;Philippines;292451
COL;Colombia;29208
IRL;Ireland;283703
PAK;Pakistan;27105
CHL;Chile;240796
FIN;Finland;232351
PRT;Portugal;199113
BGD;Bangladesh;195079
GRC;Greece;194851
VNM;Vietnam;193599
PER;Peru;189111
CZE;Czech Republic;185156
KAZ;Kazakhstan;184388
IRQ;Iraq;180069
ROU;Romania;177954
NZL;New Zealand;173754
DZA;Algeria;164779
QAT;Qatar;164641
HUN;Hungary;121715
KWT;Kuwait;114041
PRI;Puerto Rico;103135
AGO;Angola;102627
MAR;Morocco;100593
ECU;Ecuador;100177
SDN;Sudan;97156
UKR;Ukraine;90615
SVK;Slovakia;87264
CUB;Cuba;87133
LKA;Sri Lanka;82316
OMN;Oman;69831
DOM;Dominican Republic;68103
UZB;Uzbekistan;66733
GTM;Guatemala;63794
KEN;Kenya;63398
MMR;Myanmar;62601
ETH;Ethiopia;6154
LUX;Luxembourg;568
BLR;Belarus;54609
CRI;Costa Rica;54137
URY;Uruguay;53443
AZE;Azerbaijan;53047
PAN;Panama;52132
BGR;Bulgaria;50199
HRV;Croatia;48732
LBN;Lebanon;47085
MAC;Macao SAR China;46178
TZA;Tanzania;45628
TUN;Tunisia;43015
SVN;Slovenia;42775
LTU;Lithuania;414
YEM;Yemen;37734
GHA;Ghana;37543
JOR;Jordan;37517
SRB;Serbia;3716
TKM;Turkmenistan;35855
COD;Congo DR;35238
BOL;Bolivia;32998
CIV;Ivory Coast;31759
BHR;Bahrain;31126
CMR;Cameroon;28416
UGA;Uganda;27529
PRY;Paraguay;27094
LVA;Latvia;27003
SLV;El Salvador;2585
TTO;Trinidad and Tobago;23559
EST;Estonia;22459
NPL;Nepal;21195
ZMB;Zambia;21154
HND;Honduras;20421
CYP;Cyprus;1956
AFG;Afghanistan;19331
KHM;Cambodia;1805
PNG;Papua New Guinea;16929
ISL;Iceland;1678
BIH;Bosnia and Herzegovina;16192
MOZ;Mozambique;14807
ZWE;Zimbabwe;14419
BWA;Botswana;1439
JAM;Jamaica;14262
GAB;Gabon;14262
GEO;Georgia;13965
SEN;Senegal;1361
BRN;Brunei;1293
MLI;Mali;12747
NIC;Nicaragua;12693
PSE;West Bank and Gaza;12677
LAO;Lao PDR;12369
GNQ;Equatorial Guinea;12202
MNG;Mongolia;11741
MUS;Mauritius;11682
NAM;Namibia;11492
ALB;Albania;11398
TCD;Chad;10889
BFA;Burkina Faso;10678
ARM;Armenia;10529
MKD;Macedonia;10086
MLT;Malta;9746
MDG;Madagascar;9739
SSD;South Sudan;9015
BHS;Bahamas;8854
HTI;Haiti;8765
COG;Congo;8553
BEN;Benin;8291
RWA;Rwanda;8096
TJK;Tajikistan;7853
IMN;Isle of Man;7428
NER;Niger;7143
GIN;Guinea;6699
LIE;Liechtenstein;6664
KGZ;Kyrgyzstan;6572
MDA;Moldova;6568
MWI;Malawi;6404
XKX;Kosovo;6401
SOM;Somalia;5925
GUM;Guam;5734
BMU;Bermuda;5574
MRT;Mauritania;5442
SUR;Suriname;515
FJI;Fiji;4426
BRB;Barbados;4385
SLE;Sierra Leone;4215
SWZ;Swaziland;4118
TGO;Togo;4088
MNE;Montenegro;3987
VIR;Virgin Islands (U.S.);3765
MDV;Maldives;3435
AND;Andorra;3249
GUY;Guyana;3166
BDI;Burundi;3097
FRO;Faroe Islands;2613
GRL;Greenland;2441
LSO;Lesotho;2278
BTN;Bhutan;2058
LBR;Liberia;2053
BLZ;Belize;1753
DJI;Djibouti;1727
CPV;Cabo Verde;1603
CAF;Central African Republic;1584
TLS;Timor-Leste;1442
SYC;Seychelles;1438
LCA;St. Lucia;1431
ATG;Antigua and Barbuda;1259
SLB;Solomon Islands;1129
GNB;Guinea-Bissau;1057
GRD;Grenada;984
GMB;Gambia;939
MNP;Northern Mariana Islands;922
KNA;St. Kitts and Nevis;876
WSM;Samoa;761
VUT;Vanuatu;742
VCT;St. Vincent and the Grenadines;738
ASM;American Samoa;641
COM;Comoros;566
DMA;Dominica;517
TON;Tonga;435
STP;So Tom and Principe;318
FSM;Micronesia Fed. Sts.;315
PLW;Palau;287
MHL;Marshall Islands;179
KIR;Kiribati;160
NRU;Nauru;100
TUV;Tuvalu;33
WLD;World;74188701
EAS;East Asia & Pacific;21680001
ECS;Europe & Central Asia;20080050
LCN;Latin America & Caribbean;5326923
MEA;Middle East & North Africa;3141081
NAC;North America;19595347
SAS;South Asia;2689862
SSF;Sub-Saharan Africa;1590036
LIC;Low income;394274
LMC;Lower middle income;5861047
UMC;Upper middle income;20523702
HIC;High income;47417015
PRK;North Korea;12930
GUF;French Guiana;4900
SYR;Syria;79000
LBY;Libya;29000
ESH;Western Sahara;909
TWN;Taiwan;474000
WEN;Venezuela;371300